SEMUA KATA BERDASARKAN SKOR TF-IDF
==================================================

Total kata unik: 1000

732. tebak                : 0.5149
733. kait                 : 0.5123
734. msh                  : 0.5116
735. hasut                : 0.5099
736. keras                : 0.5094
737. tinggi               : 0.5072
738. jogetpilihan         : 0.5060
739. manfaat              : 0.4996
740. manusia              : 0.4996
741. klarifikasi          : 0.4989
742. wae                  : 0.4975
743. hujan                : 0.4975
744. kartini              : 0.4958
745. woyyy                : 0.4947
746. lampu                : 0.4933
747. liar                 : 0.4929
748. inovasibuat          : 0.4926
749. fungsi               : 0.4925
750. tanpa                : 0.4925
751. keluarga             : 0.4876
752. komenannya           : 0.4861
753. adalahh              : 0.4855
754. sisi                 : 0.4849
755. nikmatin             : 0.4836
756. ujianya              : 0.4816
757. maqom                : 0.4816
758. hasti                : 0.4814
759. lepas                : 0.4814
760. kabar                : 0.4785
761. standar              : 0.4767
762. kesini               : 0.4704
763. jirt                 : 0.4670
764. kagum                : 0.4626
765. teman                : 0.4616
766. luar                 : 0.4592
767. kabinet              : 0.4587
768. ugalugalan           : 0.4560
769. koordinator          : 0.4513
770. herianto             : 0.4513
771. kaliann              : 0.4491
772. lawakk               : 0.4491
773. pnting               : 0.4487
774. jiaellah             : 0.4472
775. lalu                 : 0.4466
776. kenpa                : 0.4438
777. dpt                  : 0.4436
778. institusi            : 0.4436
779. wkwkwkwk             : 0.4422
780. lelah                : 0.4416
781. harta                : 0.4416
782. maen                 : 0.4414
783. isilop               : 0.4376
784. kobok                : 0.4367
785. fokus                : 0.4361
786. jernih               : 0.4335
787. katanyaa             : 0.4335
788. jng                  : 0.4335
789. mahasiswaa           : 0.4335
790. komplot              : 0.4275
791. contoh               : 0.4270
792. bela                 : 0.4240
793. woy                  : 0.4221
794. kelaperan            : 0.4221
795. hahahahah            : 0.4221
796. wayang               : 0.4217
797. wkw                  : 0.4217
798. diam                 : 0.4207
799. resiko               : 0.4206
800. komplen              : 0.4203
801. manjadi              : 0.4173
802. kekacawan            : 0.4159
803. hadehh               : 0.4118
804. gundala              : 0.4108
805. kuping               : 0.4105
806. janganx              : 0.4105
807. guwe                 : 0.4105
808. kompas               : 0.4101
809. koar                 : 0.4051
810. digit                : 0.4024
811. like                 : 0.3995
812. lokal                : 0.3985
813. kamis                : 0.3985
814. akal                 : 0.3978
815. akut                 : 0.3971
816. anggap               : 0.3967
817. kuat                 : 0.3952
818. iniaku               : 0.3952
819. hasto                : 0.3938
820. kisruh               : 0.3938
821. ajaa                 : 0.3908
822. mamak                : 0.3887
823. ajak                 : 0.3887
824. kuku                 : 0.3869
825. level                : 0.3857
826. janji                : 0.3850
827. bahkan               : 0.3804
828. sering               : 0.3798
829. bolos                : 0.3798
830. indah                : 0.3779
831. niat                 : 0.3777
832. chan                 : 0.3748
833. lambat               : 0.3731
834. pandang              : 0.3721
835. kotorny              : 0.3719
836. mahalin              : 0.3712
837. jelek                : 0.3702
838. iningeri             : 0.3659
839. lindung              : 0.3655
840. hehen                : 0.3648
841. well                 : 0.3641
842. win                  : 0.3550
843. kmn                  : 0.3513
844. pertama              : 0.3440
845. literasi             : 0.3438
846. langgar              : 0.3438
847. suap                 : 0.3436
848. kantor               : 0.3416
849. lapor                : 0.3416
850. malan                : 0.3395
851. jago                 : 0.3395
852. manja                : 0.3395
853. ini                  : 0.3382
854. kebal                : 0.3382
855. hut                  : 0.3378
856. putus                : 0.3367
